"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","original_id","gene_biotype","external_gene_name","entrezgene_id"
"6201","ENSMUSG00000028402",2.44653737620503,19.4780276475443,4.96002492108908,3.92498585335126,8.67348349856018e-05,0.00111781391460811,"ENSMUSG00000028402.18","protein_coding","Mpdz",17475
"30020","ENSMUSG00000109907",2.26629142413447,19.4252908971283,4.94715859043128,3.9245337585662,8.68978734484021e-05,0.00111937797845428,"ENSMUSG00000109907.1","lncRNA","Gm45321",NA
"32572","ENSMUSG00000115010",4.99032508630205,19.318855984652,4.87080238688941,3.96420434477593,7.36411522102371e-05,0.000971441093350957,"ENSMUSG00000115010.1","processed_pseudogene","Gm20150",NA
"2806","ENSMUSG00000021280",2.97460373976392,19.0525404262345,4.93209971312081,3.860939870209,0.000112951700377689,0.00139414373563602,"ENSMUSG00000021280.9","protein_coding","Exoc3l4",74190
"30203","ENSMUSG00000110308",2.30893395785134,18.9715486627375,4.9601526733748,3.82277520700514,0.000131958070009988,0.00160295334433661,"ENSMUSG00000110308.1","TEC","Gm45516",NA
"8239","ENSMUSG00000032352",4.53730980724464,18.9253929315638,3.95871235386324,4.77816806091117,1.76899498715354e-06,3.77246098264813e-05,"ENSMUSG00000032352.16","protein_coding","Lrrc1",214345
"7239","ENSMUSG00000030316",2.79834620984611,18.9053805991147,4.93272054432522,3.83062053269013,0.000127820500575002,0.00155762386771479,"ENSMUSG00000030316.13","protein_coding","Tamm41",68971
"9957","ENSMUSG00000037568",2.27027984628722,18.8135088052781,4.93378542215143,3.81117280067657,0.000138309038252541,0.0016740442313595,"ENSMUSG00000037568.12","protein_coding","Vash2",226841
"27106","ENSMUSG00000104060",1.71646822707733,18.7908339777581,4.98845112643084,3.76486278040284,0.000166640568805769,0.00197251317628265,"ENSMUSG00000104060.1","TEC","Gm37954",NA
"5308","ENSMUSG00000026705",5.59091451024061,18.7896730421659,3.20754187178854,5.85484891322533,4.77443855028695e-09,1.88949865540448e-07,"ENSMUSG00000026705.16","protein_coding","Klhl20",226541
"13494","ENSMUSG00000050379",3.62630546329421,18.7314218523382,4.17937458068539,4.47947928354103,7.4825351532915e-06,0.000131694580043973,"ENSMUSG00000050379.15","protein_coding","Sept6",56526
"4926","ENSMUSG00000025962",2.72573263506515,18.623290593867,4.9329015006491,3.77329459982482,0.000161105862321427,0.00191373183519964,"ENSMUSG00000025962.15","protein_coding","Fastkd2",75619
"5552","ENSMUSG00000027189",3.43249403826238,18.4651653414179,4.18383430189717,4.4110650684826,1.02863398729487e-05,0.000174744159587386,"ENSMUSG00000027189.16","protein_coding","Trim44",80985
"14692","ENSMUSG00000056755",2.81069672177708,18.4163735305726,4.51989186453907,4.07230395819428,4.65503761322509e-05,0.000651511204877538,"ENSMUSG00000056755.13","protein_coding","Grm7",108073
"15228","ENSMUSG00000059873",4.65225471369581,18.3927332962404,4.0023655099277,4.59296714671432,4.36987878703119e-06,8.19596399874885e-05,"ENSMUSG00000059873.4","protein_coding","Olfr1029",258154
"13609","ENSMUSG00000050930",1.71986617287246,18.3510259374099,4.93575343004828,3.71595262959286,0.000202439510565907,0.00231170083961698,"ENSMUSG00000050930.5","protein_coding","Map10",74393
"11176","ENSMUSG00000040901",1.58226275451878,18.2911042777329,4.93648584177595,3.70326277916683,0.000212844208018899,0.00241920005881151,"ENSMUSG00000040901.8","protein_coding","Kcnk18",332396
"12908","ENSMUSG00000047777",1.79682128290344,18.2817976699746,4.93547645154079,3.70213450502238,0.000213793219049367,0.00242793161827819,"ENSMUSG00000047777.9","protein_coding","Phf13",230936
"33916","ENSMUSG00000117924",2.39988925864006,18.1794927450956,4.72160171793993,3.8481629392966,0.000119006893011668,0.00146216245768865,"ENSMUSG00000117924.1","protein_coding","Tmem223",66836
"6348","ENSMUSG00000028647",1.73617297458073,18.1180008582364,4.93677248911464,3.667983667095,0.000244470796500118,0.00270986242360717,"ENSMUSG00000028647.13","protein_coding","Mycbp",56309
"6291","ENSMUSG00000028553",2.56024257227063,18.0880404857726,4.58007895982759,3.94710236315514,7.9102742608388e-05,0.00103384012699566,"ENSMUSG00000028553.12","protein_coding","Angptl3",30924
