,Sample,SRR2121770_1,SRR2121770_2,SRR2121771_1,SRR2121771_2,SRR2121774_1,SRR2121774_2,SRR2121775_1,SRR2121775_2,SRR2121778_1,SRR2121778_2,SRR2121779_1,SRR2121779_2,SRR2121780_1,SRR2121780_2,SRR2121781_1,SRR2121781_2,SRR2121786_1,SRR2121786_2,SRR2121787_1,SRR2121787_2,SRR2121788_1,SRR2121788_2,SRR2121789_1,SRR2121789_2
FastQC,adapter_content,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
,Sequences flagged as poor quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,sequence_duplication_levels,warn,warn,pass,pass,pass,pass,pass,pass,warn,pass,pass,pass,pass,pass,warn,warn,warn,pass,pass,pass,fail,fail,fail,warn
,avg_sequence_length,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
,Encoding,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9,Sanger / Illumina 1.9
,per_base_sequence_quality,pass,pass,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,fail,fail,fail,pass,fail,fail,fail,fail,pass,pass,pass,fail
,sequence_length_distribution,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
,Sequence length,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
,File type,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls,Conventional base calls
,basic_statistics,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass
,per_sequence_gc_content,pass,pass,pass,pass,pass,pass,warn,warn,warn,warn,pass,fail,warn,fail,pass,pass,warn,fail,warn,fail,fail,fail,fail,fail
,Total Sequences,118323219,118323219,103127231,103127231,91225885,91225885,108661623,108661623,136766553,136766553,124265478,124265478,99685598,99685598,106360532,106360532,99988292,99988292,75410310,75410310,82750449,82750449,92454136,92454136
,per_base_n_content,pass,pass,warn,pass,warn,pass,pass,pass,fail,warn,fail,warn,fail,warn,pass,pass,fail,fail,fail,warn,pass,pass,pass,fail
,per_base_sequence_content,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail
,overrepresented_sequences,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,pass,warn,pass,pass,warn,warn,warn,warn,pass,pass,warn,warn,warn,warn
,%GC,47,47,46,46,47,47,47,47,46,47,46,46,46,46,46,46,47,47,46,46,47,47,47,48
,total_deduplicated_percentage,52.20958673,55.28743506,90.47297502,97.22714143,91.11411337,97.47431986,72.31423101,95.57923295,65.27895305,83.85617925,73.08810256,79.50169478,92.46127029,94.09779679,54.09833163,52.4832411,68.88309902,74.63550918,93.00930552,94.9666922,43.56442006,44.95245995,42.6643141,57.36052687
,Filename,SRR2121770_1.fastq.gz,SRR2121770_2.fastq.gz,SRR2121771_1.fastq.gz,SRR2121771_2.fastq.gz,SRR2121774_1.fastq.gz,SRR2121774_2.fastq.gz,SRR2121775_1.fastq.gz,SRR2121775_2.fastq.gz,SRR2121778_1.fastq.gz,SRR2121778_2.fastq.gz,SRR2121779_1.fastq.gz,SRR2121779_2.fastq.gz,SRR2121780_1.fastq.gz,SRR2121780_2.fastq.gz,SRR2121781_1.fastq.gz,SRR2121781_2.fastq.gz,SRR2121786_1.fastq.gz,SRR2121786_2.fastq.gz,SRR2121787_1.fastq.gz,SRR2121787_2.fastq.gz,SRR2121788_1.fastq.gz,SRR2121788_2.fastq.gz,SRR2121789_1.fastq.gz,SRR2121789_2.fastq.gz
,per_tile_sequence_quality,warn,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,warn,fail,fail,fail,fail,warn,pass,pass,fail
,per_sequence_quality_scores,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail,pass,fail,pass,pass,pass,pass
Trimming,surviving,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,surviving_pct,86.86,,85.83,,84.67,,86.67,,79.21,,74.78,,76.41,,89.78,,69.91,,72.17,,89.15,,89.52,
